created_at,updated_at,id,parent_category_id,language_id,name,code
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005460,100005322,1,Hunting Clothing,000005460
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005462,100005460,1,Ghillie Suits,000005462
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005461,100005460,1,Hunting & Fishing Vests,000005461
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005552,100005460,1,Hunting & Tactical Pants,000005552
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005379,100005322,1,Martial Arts Shorts,000005379
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005517,100005322,1,Motorcycle Protective Clothing,000005517
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006006,100005517,1,Motorcycle Jackets,000006006
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100007003,100005517,1,Motorcycle Pants,000007003
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005463,100005517,1,Motorcycle Suits,000005463
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005555,100005322,1,Paintball Clothing,000005555
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100000182,100001604,1,Baby & Toddler Clothing,000000182
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005408,100000182,1,Baby & Toddler Bottoms,000005408
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005549,100000182,1,Baby & Toddler Diaper Covers,000005549
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005424,100000182,1,Baby & Toddler Dresses,000005424
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005425,100000182,1,Baby & Toddler Outerwear,000005425
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005622,100000182,1,Baby & Toddler Outfits,000005622
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005412,100000182,1,Baby & Toddler Sleepwear,000005412
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005423,100000182,1,Baby & Toddler Socks & Tights,000005423
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005409,100000182,1,Baby & Toddler Swimwear,000005409
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005410,100000182,1,Baby & Toddler Tops,000005410
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005411,100000182,1,Baby One-Pieces,000005411
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005621,100000182,1,Toddler Underwear,000005621
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100002271,100001604,1,Dresses,000002271
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005182,100001604,1,One-Pieces,000005182
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005250,100005182,1,Jumpsuits & Rompers,000005250
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005490,100005182,1,Leotards & Unitards,000005490
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100007132,100005182,1,Overalls,000007132
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100000203,100001604,1,Outerwear,000000203
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005506,100000203,1,Chaps,000005506
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005598,100000203,1,Coats & Jackets,000005598
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005514,100000203,1,Rain Pants,000005514
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100003066,100000203,1,Rain Suits,000003066
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005909,100000203,1,Snow Pants & Suits,000005909
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100001831,100000203,1,Vests,000001831
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100007313,100001604,1,Outfit Sets,000007313
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100000204,100001604,1,Pants,000000204
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100000212,100001604,1,Shirts & Tops,000000212
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100000207,100001604,1,Shorts,000000207
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100001581,100001604,1,Skirts,000001581
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005344,100001604,1,Skorts,000005344
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100000208,100001604,1,Sleepwear & Loungewear,000000208
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005713,100000208,1,Loungewear,000005713
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005513,100000208,1,Nightgowns,000005513
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100002580,100000208,1,Pajamas,000002580
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100002302,100000208,1,Robes,000002302
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100001594,100001604,1,Suits,000001594
